product_id,product_name,category,list_price
773,"Mountain-100 Silver, 44",Bikes,3399.99
985,"Mountain-500 Silver, 42",Bikes,564.99
776,"Mountain-100 Black, 42",Bikes,3374.99
982,"Mountain-400-W Silver, 42",Bikes,769.49
779,"Mountain-200 Silver, 38",Bikes,2319.99
991,"Mountain-500 Black, 44",Bikes,539.99
785,"Mountain-300 Black, 38",Bikes,1079.99
782,"Mountain-200 Black, 38",Bikes,2294.99
988,"Mountain-500 Silver, 52",Bikes,564.99
771,"Mountain-100 Silver, 38",Bikes,3399.99
980,"Mountain-400-W Silver, 38",Bikes,769.49
788,"Mountain-300 Black, 48",Bikes,1079.99
777,"Mountain-100 Black, 44",Bikes,3374.99
983,"Mountain-400-W Silver, 46",Bikes,769.49
780,"Mountain-200 Silver, 42",Bikes,2319.99
986,"Mountain-500 Silver, 44",Bikes,564.99
783,"Mountain-200 Black, 42",Bikes,2294.99
774,"Mountain-100 Silver, 48",Bikes,3399.99
989,"Mountain-500 Black, 40",Bikes,539.99
786,"Mountain-300 Black, 40",Bikes,1079.99
992,"Mountain-500 Black, 48",Bikes,539.99
775,"Mountain-100 Black, 38",Bikes,3374.99
981,"Mountain-400-W Silver, 40",Bikes,769.49
772,"Mountain-100 Silver, 42",Bikes,3399.99
781,"Mountain-200 Silver, 46",Bikes,2319.99
987,"Mountain-500 Silver, 48",Bikes,564.99
778,"Mountain-100 Black, 48",Bikes,3374.99
990,"Mountain-500 Black, 42",Bikes,539.99
984,"Mountain-500 Silver, 40",Bikes,564.99
787,"Mountain-300 Black, 44",Bikes,1079.99
784,"Mountain-200 Black, 46",Bikes,2294.99
993,"Mountain-500 Black, 52",Bikes,539.99
767,"Road-650 Black, 62",Bikes,782.99
790,"Road-250 Red, 48",Bikes,2443.35
976,"Road-350-W Yellow, 48",Bikes,1700.99
798,"Road-550-W Yellow, 40",Bikes,1120.49
764,"Road-650 Red, 52",Bikes,782.99
973,"Road-350-W Yellow, 40",Bikes,1700.99
801,"Road-550-W Yellow, 48",Bikes,1120.49
755,"Road-450 Red, 60",Bikes,1457.99
761,"Road-650 Red, 62",Bikes,782.99
758,"Road-450 Red, 52",Bikes,1457.99
749,"Road-150 Red, 62",Bikes,3578.27
792,"Road-250 Red, 58",Bikes,2443.35
789,"Road-250 Red, 44",Bikes,2443.35
769,"Road-650 Black, 48",Bikes,782.99
752,"Road-150 Red, 52",Bikes,3578.27
795,"Road-250 Black, 52",Bikes,2443.35
998,"Road-750 Black, 48",Bikes,539.99
975,"Road-350-W Yellow, 44",Bikes,1700.99
766,"Road-650 Black, 60",Bikes,782.99
763,"Road-650 Red, 48",Bikes,782.99
800,"Road-550-W Yellow, 44",Bikes,1120.49
760,"Road-650 Red, 60",Bikes,782.99
794,"Road-250 Black, 48",Bikes,2443.35
757,"Road-450 Red, 48",Bikes,1457.99
754,"Road-450 Red, 58",Bikes,1457.99
797,"Road-550-W Yellow, 38",Bikes,1120.49
751,"Road-150 Red, 48",Bikes,3578.27
791,"Road-250 Red, 52",Bikes,2443.35
974,"Road-350-W Yellow, 42",Bikes,1700.99
997,"Road-750 Black, 44",Bikes,539.99
765,"Road-650 Black, 58",Bikes,782.99
768,"Road-650 Black, 44",Bikes,782.99
977,"Road-750 Black, 58",Bikes,539.99
759,"Road-650 Red, 58",Bikes,782.99
762,"Road-650 Red, 44",Bikes,782.99
799,"Road-550-W Yellow, 42",Bikes,1120.49
796,"Road-250 Black, 58",Bikes,2443.35
770,"Road-650 Black, 52",Bikes,782.99
999,"Road-750 Black, 52",Bikes,539.99
